"Timestamp","User_ID","Application_Type","Signal_Strength","Latency","Required_Bandwidth","Allocated_Bandwidth","Resource_Allocation","Hour","DayOfWeek","IsWeekend"
NA,"User_378","VoIP_Call",-58,50,0,5,90,NA,NA,0
NA,"User_379","Online_Gaming",-50,45,6.1,6.4,80,NA,NA,0
NA,"User_380","Streaming",-100,59,1.5,2,85,NA,NA,0
NA,"User_381","Video_Call",-50,51,14.3,15.6,75,NA,NA,0
NA,"User_382","Video_Streaming",-100,56,1.2,1.6,70,NA,NA,0
NA,"User_383","Emergency_Service",-50,5,0.4,0.4,70,NA,NA,0
NA,"User_384","Web_Browsing",-100,0,0.1,0.1,70,NA,NA,0
NA,"User_385","Background_Download",-100,77,360,360,60,NA,NA,0
NA,"User_386","VoIP_Call",-57,51,0,0,90,NA,NA,0
NA,"User_387","Online_Gaming",-50,46,6.2,6.5,80,NA,NA,0
NA,"User_388","Streaming",-100,60,1.4,1.9,85,NA,NA,0
NA,"User_389","Video_Call",-50,52,14.4,15.7,75,NA,NA,0
NA,"User_390","Video_Streaming",-100,57,1.1,1.5,70,NA,NA,0
NA,"User_391","Emergency_Service",-50,5,0.4,0.4,70,NA,NA,0
NA,"User_392","Web_Browsing",-100,0,0.1,0.1,70,NA,NA,0
NA,"User_393","Background_Download",-100,78,350,350,60,NA,NA,0
NA,"User_394","VoIP_Call",-56,52,0,0,90,NA,NA,0
NA,"User_395","Online_Gaming",-50,47,6.3,6.6,80,NA,NA,0
NA,"User_396","Streaming",-100,61,1.3,1.8,85,NA,NA,0
NA,"User_397","Video_Call",-50,53,14.5,15.8,75,NA,NA,0
NA,"User_398","Video_Streaming",-100,58,1,1.4,70,NA,NA,0
NA,"User_399","Emergency_Service",-50,5,0.4,0.4,70,NA,NA,0
NA,"User_400","Web_Browsing",-100,0,0.1,0.1,70,NA,NA,0
